高楼上谁穿着青袍眺望，就像望春台边随风飘扬的青旗。	青旂遥倚望春台	青山遥望下邳门	春旗已在望春台	旌旗遥倚望春台
下马走到邺城上面。	下马登邺城	下马昌邑城	匹马登城暮	歇马东城下
”	曰有志极而无旁	素位而行无怫逆	安知天地有终极	然而无有则亦无
扬州城里夜市繁华，千灯万火映照碧云，高楼内外到处可见浓妆艳抹的女子，那些寻欢作乐的游客纷纷而来，络绎不绝。	夜市千灯照碧云，高楼红袖客纷纷。	山楼主客百重欢，红袖银灯夜未阑。	缓辔归来看夜城，千门灯火照街明。	酒酣夜别淮阴市，月照高楼一曲歌。
时见松栎粗大十围，郁郁又苍苍。	时见松枥皆十围	夹道乔松过十围	夹径山松皆十围	不见苍皮四十围
看老人秀眉银发满面春色。	秀眉霜雪颜桃花	冰雪颜容桃李年	玉颜相映桃花红	桃花潭前雪美姿
近来江水混着鲜血争先向东流。	近来长共血争流	铁马长驱汗血流	送君愁共水争流	长流战血古来多
我漂泊江湖，作了三年幕客。	江海三年客	三年浮海客	淮海三年客	三年江海客
如茫茫海天般的愁思涌了出来。	海天愁思正茫茫	海天云气正茫茫	海天愁思总茫茫	海天遥望感茫茫
春天迈着轻盈的脚步来到人间，美人如花似玉。	春到人间人似玉	春到人间少一分	春到自怜人似玉	春到人间树自花
空自留在这里听那子规的凄鸣，褒城里传来公鸡报晓之声。	褒城闻曙鸡	城小尽闻鸡	山城起曙鸡	城南听曙乌
高高的白花酒楼更是解人眼馋。	百花高楼更可怜	千枝杏花更可怜	百花洲前更可怜	山巅高阁更堪怜
青山万里，我真是挂念你的一叶扁舟。	青山万里一孤舟	万里江山万里舟	万里孤舟一梦来	长江万里一孤舟
一叶扁舟飞快地划着桨，它将要飘去哪里呢。	扁舟一棹归何处	轻舟一棹归何处	子猷一棹归何处	江海一舟何处归
断断续续传来山寺的晚钟。	迢递来山钟	迢递过山来	迢递还山梦	迢递晓钟迟
冷却一下卿士们爱花的心情，都象天子一样关心农业生产，人民就都得到幸福了。	少回卿士爱花心，同似吾君忧稼穑。	周公爱主真深切，稼穑艰难先使知。	须识光风霁月心，爱君忧国虑民深。	不管达官怕木稼，且留处士爱梅花。
夜里的清霜将要落下，空气中也充满了清朗的气息。	夜霜欲落气先清	霜满空江夜气清	霜落天高秋气清	碧落风清夜气寒
处死杨妃也是玄宗英明决策。	终是圣明天子事	话到圣明天子事	圣明天子得天心	圣明天子崇恭俭
我只与您是心心相印成莫逆之交。	就中与君心莫逆	漫道与君心莫逆	惟有此君成莫逆	惟予与汝交莫逆
锦官城里的音乐声轻柔悠扬，一半随着江风飘去，一半飘入了云端。	锦城丝管日纷纷，半入江风半入云。	青松黛绿秀超群，半入江天半入云。	落花飞絮正纷纷，半入江风半入云。	襄阳城外雪纷如，散入江流片片虚。
心头却似死灰并不想重新燃起。	死灰吹不起	笳吹不起尘	死灰念不作	秋风吹不起
用餐时一粒饭都不肯剩存。	一饭不愿馀	一饭不少忘	一饭不忘亲	谋生不愿馀
策马驰奔在蓟门之北。	驱马蓟门北	驱车出蓟门	走马蓟门天	驱马蓟门尘
今天所听到的空中箫鼓声不知道以后什么时候再能听到。	空中箫鼓几时回	辽阳金鼓几时休	空中箫管何曾绝	洞箫兰桨几时来
胸有大志一心追随任公子。	愿随任公子	不见任公子	应是任公子	欲问任公子
今日在此我与你依依作别。	今朝此为别	今朝遽别滁	今朝始别离	何忍今朝别
夜幕中峰峦起伏重叠。	夜峰何离离	何救黍离离	蒲生何离离	奈何离居夜
此地和他的大名就一起百代流传。	高名百代留	百代声名远	名高一代垂	高名万代传
他们什么都能做得出来，把古寺拆掉，用拆下来的房梁屋柱来修筑自己的营寨，他们把荒坟扒开，用坟上的砖来砌自已的城垒。	古寺拆为修寨木，荒坟开作甃城砖。	古寺拆为修寨木，荒坟开作甃城塼。	古寺购寻遗刻在，新亭龛置断珉奇。	编树为篱乔木古，依山筑室乱云封。
初晴的淡淡日光不能映成彩霞。	日痕清淡不成霞	日痕清澹不成霞	薄云韬日不成晴	远峰含日半成霞
凉风飕飕地从天边刮起，你的心境怎样呢。	凉风起天末	秋风起天末	朔风起天末	凉风天末起
在人世间怎会遇见牡丹这样漂亮的花，花开重瓣，层层叠叠如同西天王母九重的增城。	偶然相遇人间世，合在增城阿姥家。	偶然梦到人间世，犹拥旌旗管洞天。	偶然来到人间世，料想神霄未一年。	他日林间重勘辨，我身元是在家僧。
今后就算住到鸟巢好像也会觉得海阔天空。	今后巢居亦觉宽	鹤巢已觉地宽閒	上古巢居亦自安	一日居山梦亦清
应该是回到江南的黄叶村。	家在江南黄叶村	家住江南黄叶村	家在江南山水村	黄叶江南自一村
迢迢万里的银河朝西南方向下坠。	迢迢天汉西南落	迢迢天汉未云赊	南楚迢迢通汉口	迢迢银汉渡云𫐌
安禄山则在宫中画金鸡为饰的坐障前被杨贵妃收为义子。	金鸡障下养为儿	终作金笼养雪雏	赐与营中厮养儿	一炉金就养婴儿
城墙上的画角声仿佛也在哀痛。	城上斜阳画角哀	怕听斜阳画角哀	城上斜阳画角残	岁暮高城画角哀
为何继承前任遗绪。	何续初继业	何止继前基	何曾继志成	如何继祖灯
愁云惨淡地压在广阔的低谷。	低云愁广隰	屯云荫广陌	低云参驻盖	云低广幕陈
决定随从举子们参加科举考试。	强随举子踏槐花	年年随伴踏槐花	也胜辛苦踏槐花	却随举子踏槐花
今日你我于军中痛饮，你将走上我来时的路。	送子军中饮	山瓶送马军	司马军中拜	军中得老子
渔舟惊起水鸟，又翩然落下。	船冲水鸟飞还住	水鸟飞来还径去	水禽飞尽钓舟还	水鸟飞来似送人
这时从竹林中传出阵阵鸟叫，可是偌大的竹林中却发现不了鸟儿的位置，只见到长长的藤萝和黄昏中的古木。	数声好鸟不知处，千丈藤罗古木昏。	一声白鸟不知处，万点青山都在前。	数声好鸟不知处，千丈藤萝古木昏。	数声啼鸟无寻处，几度斜阳不入楼。
秋季的田地都多么期待这么一场酣畅淋漓的大雨啊。	秋田有望从淋漓	秋成有望米价减	深洋一望黑淋漓	淋漓鹭下秋涛阔
这时，石亨将军提着戈挺身而出，杀敌人就像割草和蒿。	将军此时挺戈出，杀敌不异草与蒿。	射杀匈奴白马将，生擒不少射雕群。	将军跃马横戈去，叱咤能挥草木兵。	文阵异时逢大敌，犹能斩将复搴旗。
屈原最终抱石自沉汨罗江中。	屈原终投湘水滨	欲吊忠魂湘水滨	屈子行吟湘水滨	合托湘流吊屈原
嘉宾贵客重新聚集济济一堂。	嘉宾复满堂	嘉宾集杏梁	宾客满堂上	嘉宾期座满
与君对比，欢赏不已，于是放歌高吟直到天明。	与君对此欢未歇，放歌行吟达明发。	开樽花下对明月，欲弹一曲还沉吟。	羁人对酒此时叹，之子踏歌何处行。	相对倾樽明月上，行吟绕树不知忙。
亲朋好友们音信全无。	亲朋无一字	亲朋几字书	慈闱无一字	别来无一字
路上的行人争相围观那彩车驶来。	路人争看翠軿来	醉归扶路人争看	万人争看谪仙来	万人争看使星来
台阶下的积雪像是堆簇着的洁白的梨花。	砌下梨花一堆雪	吐下芦花一枝雪	杏花满地堆香雪	吹落梨花雪满阶
功绩如秋风吹过。	已过秋风吹	今已值秋风	秋风已吹鬓	秋风吹将暮
春风把我的船吹到了浯溪岸边，我拄着拐杖上山，细细地读着崖上刻的《中兴碑》。	春风吹船著浯溪，扶藜上读中兴碑。	乘潮一到中川寺，暗读中兴第二碑。	不用寻梅溪上路，春风吹气满乾坤。	溪上东风吹帽斜，故人乘兴到山家。
春风吹开桃李花物是人非不胜悲。	春风桃李花开日	芳春桃李开花未	春风桃李簇花开	春风桃李正开花
要赶紧描眉擦粉梳妆打扮。	铅华不可弃	铅华久不御	荣华不可如	铅华尽捐弃
萤火虫有光非真的火光。	草萤有耀终非火	腐草游䰟化萤火	萤火自今添熠耀	丹萤化草终非腐
我还沉浸在自己刚才做的梦里面，看看窗外天还未明。	心迷晓梦窗犹暗	晓窗倦栉犹思梦	晓窗犹似梦回初	烛窗明暗翻归梦
且去山中种芝草。	且当事芝术	未妨蓄芝术	何当饵芝术	我方饵芝术
栏杆边青苔繁茂。	栏边半是苔	疑是古苔斑	中庭半是苔	荒池半是苔
一起相处才只几天。	几日同携手	何日重携手	何日同携手	几日还携手
江岸的宫殿千门闭锁。	江头宫殿锁千门	宫殿千门锁暗尘	北来宫殿千门月	宫殿千门安在哉
高阔的天空大雁长鸣。	天高数雁鸣	天高一雁秋	天高独雁飞	天高独雁鸣
往事如烟那春风秋月已茫然。	春风秋月两茫然	春风秋月自翛然	春风秋月自依然	秋月春风两地心
但还是有很多有识之士被埋没而无法施展抱负。	奇人分湮沈	斯人竟陆沈	斯人乃陆沈	留迹岂湮沈
蹬踏梯道盘旋空中。	蹬道盘虚空	漫道现虚空	磴道盘空上	闻道架虚空
雪已残，雁声断。	残雪和雁断	思和残雨断	残云和雁断	残雪迷归雁
这样闲居的生活已经过了很久了，不知不觉已是夏天，树木已经结果。	燕居日已永，夏木纷成结。	日正林方合，蜩鸣夏已深。	一室兰香满，阴阴夏木成。	幽谷夏已深，槐柳阴初合。
并顺流上达流水尽头。	兼得穷江源	穷源那得止	旁证必穷源	兼之得固穷
一旦悟得归身之处。	一悟归身处	一身无定处	悟定是吾身	四般归一处
如果确实知道生男孩是坏事情。	信知生男恶	生计长不恶	知君善养生	自信平生命
一日长似一年，闲暇无所事事的时候才感觉如此。	日长似岁闲方觉	闲来自觉日偏长	端为身闲觉日长	日长愈觉闲无事
新雨过后山谷里空旷清新。	空山新雨后	空山初雨歇	空山微雨后	前山新雨过
我想去城南，却望着城北。	欲往城南望城北	却向城南望城北	城南城北望犹迷	城南城北经行遍
刚刚雨过天晴。	初晴山院里	山色雨初晴	山色初晴好	初晴山色静
我可是去探过安禄山的虚实，他手下根本没有象剧孟一样的智谋之士。	吴楚弄兵无剧孟	共来吴楚交兵地	三陲吴楚人才劣	吴兵勇锐越兵忧
微风习习，燕子倾斜着掠过天空。	微风燕子斜	风柔燕子斜	微风燕子过	微风斜舞燕
有位举世无双的美人。	绝代有佳人	绝代有新祠	佳人真绝世	绝代有清标
漂泊无踪如断根的秋蓬。	辞根散作九秋蓬	植根长似九秋蓬	饥来驱作九秋蓬	吾生飘泊九秋蓬
也不要说被贬之人好像泥沙一样在水底埋沉。	莫言迁客似沙沉	莫言迁客恩波少	迁客风流莫浪嗟	莫问升迁桥上客
只看见滚滚长江向天际奔流。	唯见长江天际流	惟见长江天际流	惟见黄河天际流	注目长江天际流
水边沙地树少人稀。	独树沙边人迹稀	雪满幽林人迹稀	沙步人稀满树烟	桂树岩边人信稀
一个牧童躺在柳荫下，睡梦正甜。	童子柳阴眠正着	童子困眠梅树下	杨柳阴中伴月眠	童子柳阴眠正著
青云富贵儿。	青云少年子	青云年少子	章台少年子	白皙少年子
落日下你将欣赏着五湖之美。	落日五湖春	落日芜湖色	落日五湖秋	落日五湖游
它的霞光余辉照样可以映红满天。	为霞尚满天	霞污水中天	餐霞天作东	微霞尚满天
号角声声，响彻秋夜的长空，塞外天边的云霞将夜空凝结成紫色。	角声满天秋色里，塞上燕脂凝夜紫。	军中杀气寒云杳，塞上悲风夜月孤。	关山色死秋深日，鼓角声沈霜重天。	露白秋城角夜哀，朔云边月满燕台。
酒后慢慢泛出醉晕，舞女的双颊更加润红。	酒晕徐添玉颊红	酒后晕红潮玉颊	酒潮玉颊见微赪	酒晕暗腾烘玉颊
一种东风却是两种不同的心灵。	一种东风两样心	一种东风自根极	一种东风两样春	一种东风生意别
天气晴和，喜鹤的叫声透过树林传出来。	鹊声穿树喜新晴	鹊喧树顶报新晴	鹊噪梅梢喜报晴	画檐鹊响报新晴
与剧孟一同四海遨游。	剧孟同游遨	麟凤并游遨	曾随剧孟游	与君恣游遨
听说城垣西边千树万树梨花开得像白雪遍地，想与您一同去醉中赏花，意下如何？	闻道郭西千树雪，欲将君去醉如何。	我欲与君携酒去，不知何处白云多。	西岩闻有花如雪，载酒还能共醉不。	千树梅花斫半无，有人更欲涸西湖。
说什么不可佩的是蕙草杜若。	谓蕙若其不可佩	兹其不可得而名	若有人兮不可招	谅子知其不可为
何日朝廷金鸡大赦，让我回来？	何日金鸡放赦回	金鸡放赦知何日	天上金鸡放赦时	何日金鸡遇赦回
原先她是越溪的一个浣纱女。	朝为越溪女	浣纱如越女	朝为民家女	越溪诸女儿
由于四处都可通行，所以城门的铁锁也打开了。	星桥铁锁开	横桥无铁锁	桥门铁锁开	铁锁连飞阁
大自然把神奇秀丽的景象全都汇聚其中，南山北山阴阳分解，晨昏不同。	造化钟神秀，阴阳割昏晓。	絪缊造元气，控揣成阴阳。	深沈宜造化，顷刻变阴晴。	造化钟灵秘，阴阳迭变迁。
一只小船冲破了烟波驶去，它要驶向何方。	烟波一棹知何许	烟波一棹来何远	烟波一棹动兰漪	烟波兰棹漂何处
春水潺流，喷珠溅玉。	春塘水乱流	春江绿水流	春塘带雨流	金塘水乱流
每次来听我讲道理那理解问题的样子都让人感到亲切。	每来听里解相亲	客里相逢且自亲	每逢猿鹤即相亲	相逢狱里倍相亲
人生怎么才能与石鼓那样长寿？	人生安得如汝寿	人生所得只如此	人生岂得长无谓	人生安得尽如意
江山依旧故宅犹在空留文藻。	江山故宅空文藻	文藻江山半草莱	江山故宅思文采	江山依旧供文藻
泰山日观峰朝东北倾斜。	日观东北倾	日夜东北流	白日向西倾	白日以西倾
黄河边上落日浑圆。	长河落日圆	黄河落日翻	黄河落日东	长河落半天
难道是乌鸦栖息的习性与众不同。	栖息岂殊性	幽栖惬真性	不死岂殊性	卑栖却得性
那镶玉的剑，角饰的弓。	玉靶角弓珠勒马	玉弓金勒紫绡裾	青丝玉勒康侯马	玉勒珠弓金错刀
茅亭花影睡意正浓。	茅亭宿花影	宿鸟摇花影	花影宿茆茨	茅亭枕流水
柏梁台里是曾经的旧爱。	旧爱柏梁台	旧列台中柏	诗冠柏梁台	作赋柏梁台
当我在浔阳城外泊了船。	泊舟浔阳郭	弭棹丹阳郭	舟泊汉阳城	倚棹浔阳郭
四周大山的山坡上一树树梅花似雪洁白。	雪堆遍满四山中	雪花堆白满阶除	更欲堆盐满四山	雪满山中无蜡屐
室内只有那鸭形香炉余温尚存，给人些许暖意。	金鸭香残火尚温	金猊火冷尚添香	金鸭吹香火未残	宝鸭香消火尚温
官花寂寞开放，凋落后旋即化作泥尘。	宫花一落已成尘	隋家宫阙已成尘	锦江宫苑已成尘	百花零落已成尘
只将芦管声声吹起把酒相劝，	祗将芦管送君杯	更将飞舞送馀杯	重将歌舞送君归	为君吹水引杯频
夜里它在为人世短促而啼哭。	铜驼夜来哭	空山夜哭时	夜来山下哭	夜月铜驼陌
相偎相依，好像在缠绵私语，互诉心曲。	双双只只鸳鸯语	鸳鸯鸂鶒一双双	双双锦褓鸳鸯小	鸳鸯鸂鶒总双飞
摘去一个瓜可使其他瓜生长得更好。	一摘使瓜好	又复摘秋瓜	一摘暂时新	郎去摘黄瓜
黄金像烧柴一般耗尽。	黄金燃桂尽	黄金散欲尽	黄金然桂尽	燃桂生涯尽
极目远望不见半点雾气尘埃。	极目无氛垢	极目浩无边	极目无遗眺	极目清烦垢
交甫看着昔日二位神女相赠的瑶珮。	交甫怜瑶珮	交游怜宿昔	牢收交甫佩	交甫怜瑶佩
秋夜漫漫，饥肠辘辘，再也难以读下去，喝杯山药煮成的薯粥，胜过那佳肴美味。	秋夜渐长饥作祟，一杯山药进琼糜。	中夜清寒入缊袍，一杯山茗当香醪。	一杯浓露滑如饴，灌溉清凉可疗饥。	紫霞杯里注琼浆，一夕才吞药味良。
那天边的层云已渐渐积聚厚重的得挡住了东边的高山。	浮云郁东岑	浮云岱岳东	片云浮郁水	浮云连海岳
如桅杆耸立的峰峦似壕沟深长的山谷还在。	山樯谷堑依然在	石城钟阜依然在	山墙谷堑依然在	虎丘山色依然在
唯有隐居的人在此飘逸来去。	惟有幽人自来去	时有幽人自来往	幽寻有客自来去	怕有幽人骑凤来
小青蛙在水洼草根处不停的叫着。	草根肥水噪新蛙	新绿当阶草渐肥	水生草满蛙鸣合	草茂水长蛙群鸣
嫩嫩的，绿绿的，如小孩子的眉眼，似乎对着人笑，杏花开了，花瓣圆圆的，肥肥的，桃花开了，花瓣尖尖的，厚厚的。	先裁杨柳后杏桃	小桃杨柳争时节	杨柳青青桃李花	杨柳花飞杏子新
小人妒贤自古就是这样啊。	自前世之嫉贤兮	露公之后世多贤	先圣前贤定不迂	自是前贤畏后生
当年芒砀山上祥云瑞雾曾在天空萦回，咸阳王气盛，预兆已像清水一样分明。	芒砀云端抱天回，咸阳王气清如水。	芒砀秋空映赭袍，龙光云气与天高。	芒砀已见天子气，楚氛犹袭咸阳宫。	天垂芒砀云疑在，山拥彭城气已空。
空听到禁卫军，夜间击打刀斗。	空闻虎旅传宵柝	空传虎旅鸣宵柝	虎旅传更马上笳	敌境尚闻传夜柝
菱叶和荷花在蔚蓝的河水中交相呼应。	芰荷迭映蔚	嫩荷新映水	橐荷元映紫	映日庭兰蔚
白天屋里光亮又安静。	日户昼辉静	日照山窗静	日昼风烟静	日永门庭静
餐霞楼上仙乐鸣响。	餐霞楼上动仙乐	崇霞台上神仙客	楼上仙人尽日留	紫霞楼上左仙翁
悲鸣传恨无人理会白费其声。	徒劳恨费声	何劳费越吟	徒劳打镊声	徒劳染千叶
厌倦洛阳京都满眼的风尘。	风尘厌洛京	风尘倦京洛	风尘话京国	京洛旧风尘
裁白丝布书写道经。	裂素写道经	裂素写能尽	素壁写天和	黄庭写道经
翠绿色的栏杆外绣帘儿低垂。	碧阑干外绣帘垂	石阑干外竹帘前	碧栏干外绣帘垂	碧阑干外坐斜曛
可是，又一次见到的只是从树丛中飞起来的鹧鸪。	又见鹧鸪飞	不见鹧鸪飞	又听鹧鸪啼	又见落花飞
身居异域在那阴山西面。	异域阴山外	异域今无外	山河今异域	异域孤城小
昂首阔视显得高雅深沉稳重。	顾视清高气深稳	老来气味觉深稳	山愈高时气愈深	四顾清标高逼天
这时君王正在京城的宫廷之中游乐。	是时君王在镐京	正是君王辇幸时	正是君王赐浴时	知是君王上泰坛
而如今也是如此，将青云之士却弃而不用。	今时亦弃青云士	雅谈幸有青云士	不知勇退青云士	昔时朝野青云士
我归来看见窗子上的字。	归视窗间字	窗昏愁细字	窗间看鸟归	窗间有萤过
雨后的晴天，风和日丽，雨水蒸发得无影无踪。	晴明风日雨干时	膏雨初干风日晴	夜雨朝晴风日好	嫩日光风宿雨晴
是否还能听见华亭的别墅间的鹤唳。	华亭鹤唳讵可闻	死忆华亭闻唳鹤	家近华亭鹤唳清	华亭鹤唳更堪嗟
自然就会有很多艰苦的辛酸。	自然多苦辛	多欢忽苦辛	应知多苦辛	孰知多苦辛
结果各有打算，力不齐一。	军合力不齐	师严力不废	力尽不能努	营为力不任
松树小的时候长在很深很深的草中，埋没看不出来，到现在才发现已经比那些野草高出了许多。	自小刺头深草里，而今渐觉出蓬蒿。	于今垂老荒村里，布被蒙头不出楣。	翻笑园中栽树者，十年犹未出蓬蒿。	世乱缤纷我独遭，归来行径长蓬蒿。
我的生命也渐渐走到尽头。	时亦冉冉而将至	白日冉冉复南至	年华冉冉秋将老	冉冉方悲老将至
回想以前还在东宫任职时。	忆昔在东掖	忆昔江东日	忆昔东坡老	忆在东山日
唱惯《巴人》曲的人怎肯应和《阳春》雅曲。	巴人谁肯和阳春	巴人拟和阳春曲	巴人谁和阳春曲	谁能和得阳春曲
唱完了一曲送别的歌儿，你便解开了那远别的行舟，两岸是青山。	劳歌一曲解行舟	临秋一曲放歌行	一曲高歌行路难	高歌一曲愁行路
我兴酣之时，落笔可摇动五岳，诗成之后，啸傲之声，直凌越沧海。	兴酣落笔摇五岳，诗成笑傲凌沧洲。	文章落笔有谁先，坐上诗成海外传。	诗成笑倚三珠树，笔落雄生五彩虹。	兴来拈起如椽笔，大咏高吟欲上天。
黄四娘家周围小路开满鲜花。	黄四娘家花满蹊	黄四娘家谁敢道	黄四娘家花满溪	黄四娘家花正娇
听说玉门关已被挡住了归路。	闻道玉门犹被遮	闻道玉楼重被谪	闻道关山数被围	闻道玉门千万里
凭栏望东海。	伏槛窥东溟	东溟升阳曜	东溟观出日	绝壑俯东溟
漫天的雪在这个寒冷的夜晚停住了。	天涯霜雪霁寒宵	天涯霜雪又逢春	天涯霜雪霁全消	天涯霜雪貂裘黑
陶醉过巫山的云雨的梦幻，别处的风景就不称之为云雨了。	除却巫山不是云	不知身是此山云	除却巫山不道云	不是山衔不是云
秋酉时时打得毡墙潮湿。	雨拂毡墙湿	雨侵薜荔墙	带雨拂墙衣	疏雨湿青巾
子安的在这里羽化骑黄鹤上日月，乘长风驾云雾，与鸳鸾比翼。	羽化骑日月，云行翼鸳鸾。	鸾鹤烟云驾，乌蟾日月笼。	日月垂天象，鸾龙奋宝跗。	怪龙随羽翼，青节降云烟。
蜡烛要烧成灰烬时像泪一样的蜡油才能滴干。	蜡炬成灰泪始干	蜡烛成灰泪始干	蜡炬成灰心尚在	银烛心灰泪已干
陵墓中的宝玉频频被盗掘。	宝玉频发掘	宝剑光频发	宝玉深藏璞	献俘多宝玉
因为缴租纳税，家里的田地都已卖光，只好拾些麦穗充填饥肠。	家田输税尽，拾此充饥肠。	税重多贫户，农饥足旱田。	输租庚责了，仓庾定充盈。	租税闻输毕，田园说歉馀。
今日再来此地，姑娘不知去向何处。	人面不知何处去	此地不知何处去	上界不知何处去	人面不知何处在
榴头没有池骋干里的骏马。	枥中骏马空	空遗枥马嘶	论才骏马空	骏马跑空鸣
渔梁渡口处一片喧闹的声音。	渔梁渡头争渡喧	静听行人争渡喧	溪头争渡渔郎醉	渔梁渡头新雨歇
湘江上一株株斑竹，有多少眼泪洒在上头。	湘篁染泪多	竹染湘妃泪	露沾湘竹泪	湘竹泪红涴
不嫌陇山山高。	莫厌陇山高	莫厌故山薇	莫厌山城远	陇山高接天
笑着和嬉戏大笑相伴在后花园。	笑随戏伴后园中	随他女伴绕街行	厌随女伴戏拈阄	随园毕竟耽游戏
那挂在东溪松间的一片明月。	长留一片月	空留一片月	一片长安月	惟馀一片月
城边的江水分九道而来。	江水九道来	路过九江来	长江数道来	春来江汉水
身在异乡内心本已酸楚。	客心自酸楚	茳蓠楚客心	客心仍在楚	楚客心偏苦
移到哪里都成活。	处处总能移	孤根到处移	处处总经霜	处处随人去
澄澈的泉水倒映着山间林木扶疏的姿影。	澄澄倒林影	倒影入澄潭	波澄涵倒影	林影倒澄瀛
无人知道我像秋蝉般的清廉高洁。	无人信高洁	高洁谁能似	人天乍高洁	无心信芳洁
人到老成凡事须得任心意。	人生老大须恣意	人生得意须年少	自古人生须适意	人生纵意惟疏懒
去了城东曲江游宴至今未回。	幸会东城宴未回	回鞭懒赴城东宴	东岳封回宴洛京	宴赐龙楼语未回
聚首如胶似漆作别却象无情。	多情却似总无情	多情不似无情好	多情却是无情好	多情转是无情物
用酒冲愁阵如同出奇兵。	酒冲愁阵出奇兵	酒兵无力破愁城	指挥意马冲愁阵	酒兵放阵愁中出
烽火台遍布各个山头。	山北山南总是烽	山南山北是人家	南山山北北山南	山北山南路不分
眼前胜景难以望尽。	胜概无端倪	幽兴足端倪	胜概当冲要	妙契极端倪
帝后升天。	玉辇升天人已尽	玉辇不来春已半	翠辇不来天已暮	玉辇升中已一年
若是长在秦楼边的话。	若在秦楼畔	人在海边楼	若在武昌楼	不似秦楼上
长安城头，伫立着一只白头乌鸦。	长安城头头白乌	城上乌鸦已白头	城头夜栖白头乌	城中偏有白头乌
潭水澄澈疑心水清浅。	潭清疑水浅	水清山涧浅	秋水清能浅	潭清潦水尽
傍晚听完高僧佛经讲解划船回去。	晚动归桡出道场	上林春晚归鞭动	晚来同出金门道	病夫无意动归桡
连吃饭也辨不清是黄昏还是白天。	饮食错昏昼	昏昼替清宵	眠食度朝昏	真成乱昏昼
一轮圆月映入水中，好像一颗明珠，晶莹透亮，跳荡悬浮。	月点波心一颗珠	一颗光呈掌上珠	月子波心印一钩	明灭波心几颗星
浩荡长风掠过万里关山。	长风几万里	秋风几万里	长风一万里	长风去万里
为我设宴，打开了酒樽。	为余开一尊	谁为一尊开	为尔一开颜	为我开清尊
这枝杏花的样子好像跟我一样伤春惆怅。	长得看来犹有恨	从来有恨君多哭	长恨来生尚有馀	泪眼看花如有恨
写就新诗，忽闻传来吴音吟咏，又勾起了我前几年泛舟江南的回忆，心情久久不能平静。	诗罢闻吴咏	醉里闻吴咏	诗篇闻越吟	觅句闻吴咏
好几朵花在翠藤上便摇曳起来。	数花摇翠藤	数朵古藤花	幽花落翠藤	竹影摇金翠
人们常说田家生活乐。	人言田家乐	田家自有乐	为言田舍乐	人言南土乐
体弱多病需要的只有药物。	多病所须唯药物	多病所须惟药物	多病多年药物亲	多病所需常乏药
嘉陵江的景色，含烟带月。	千里嘉陵江水色	嘉陵江水向西流	千里嘉陵江水声	嘉陵江色郡中寒
我来此更感到主人的情真意切。	我来感意气	感君深意气	感君多意气	逢君感意气
刚满十五岁的少年就出去打仗。	十五从军征	二十从军行	十五征善鄯	二十学从戎
只有恨却无情谁人了解你？	月晓风清欲堕时	月白风清夜坐时	月晓风清堕白莲	月下清霜堕晓空
会稽愚妇看不起贫穷的朱买臣。	会稽愚妇轻买臣	买臣初向会稽还	不用夸乡诏买臣	会稽愚妇厌夫贫
只是韩信当初在淮阴的时候也受尽委屈。	屈彼淮阴人	淮阴访韩信	当者非淮阴	笑彼涉江人
水天相和，一起荡悠。	已到云林境	才入云溪境	已到白云间	亦不到云林
我自己每晚都多次梦回长安。	顾余九逝魂	宁知九逝魂	莫返九原魂	空叹九飞魂
弓箭沐浴着霞光，宝剑照耀着寒霜。	弓背霞明剑照霜	弓开弦月剑霜花	残月出林明剑戟	弓剑桥山落照空
其关键是要利用他们之间的矛盾，别硬碰硬的乱整。	齐相杀之费二桃	三士杀身争二桃	安排齐物费言辞	三齐才女费相寻
面对此情此景，禁不住拉着松枝，仰天恸哭。	仰攀青松枝	手把青松枝	俯仰对青松	共把青松枝
只有乌鸦啼叫，回荡在凄迷的夕阳中。	落日啼鸦戍堞空	山门落日听啼鸦	落日啼鸦在女墙	荒城落日又啼鸦
今天我遇到了你，席间又有好酒，酒逢知已。	酒中堪累月	此中堪累月	饮尽杯中月	一楼堪累月
夜黑雨狂的山冈上，老汉只好以榛子充饥。	夜雨冈头食蓁子	昨夜冈头冷雨晴	鸽子窝前夜雨频	夜来风雨溪头急
宫楼前的江畔但见暮江东去沧海横流。	楼前宫畔暮江流	楼前江水古今流	江月楼前江水深	黄鹤楼前江水流
到傍晚又随着塞雨转回。	薄暮浑随塞雨回	薄暮毁垣春雨里	薄暮雨寒催鼓棹	薄暮征衣沾小雨
无奈战败归来去世在永安宫。	崩年亦在永安宫	永安亦在荒城里	永安宫外有祠堂	永安宫废年华老
险恶的波浪翻涌连天，道路全被高山阻隔。	恶波横天山塞路	天山白草路横分	纵横塞路困山崖	山势纵横分楚塞
鸟儿宿在芦花丛间。	鸟宿芦花里	伴我宿芦花	芦花宿钓船	溪鸟出芦花
疆场之上，只图一快。	当时历块误一蹶	误国当时岂一秦	当时一笑冰雪面	骅骝历块误颠蹶
兼得修养天鼻地口玄牝的妙处。	兼得养玄牝	得旨探玄寂	安心守玄牝	斋心守玄牝
怅望别离的时候。	怅望别离时	惆怅别离颜	东风怅别离	怅望中年别
如果用“向下和罗晖、赵袭差不多”来评价我，我似乎还要好些。	下方罗赵我亦优	我过东方亦无负	我亦方谋下吴会	汉廷我亦东方朔
衡阳的归雁会为我捎来回书。	衡阳归雁几封书	西风归雁几封书	两河归雁几传书	衡阳新雁几时归
